AuId: 2346119989  CC: 25
AuId: 2286985806  CC: 100
AuId: 2095171961  CC: 143
AuId: 2212731362  CC: 56
AuId: 2098402672  CC: 59
AuId: 2334281723  CC: 601
AuId: 2211734346  CC: 228
AuId: 2045874930  CC: 358
AuId: 2227259457  CC: 8
AuId: 2222804769  CC: 0
AuId: 2264358555  CC: 78
AuId: 2132392961  CC: 64
AuId: 2042607998  CC: 758
AuId: 2311257625  CC: 59
AuId: 1881977524  CC: 115
AuId: 2168733296  CC: 15692
AuId: 2156556505  CC: 151
AuId: 2343934394  CC: 5
AuId: 2161620145  CC: 1182
AuId: 2227562223  CC: 23
AuId: 2133298840  CC: 0
AuId: 2310211892  CC: 21
AuId: 2305930537  CC: 31
AuId: 2326527494  CC: 54
AuId: 2252019576  CC: 26
AuId: 2251089023  CC: 1
AuId: 2230427536  CC: 14
AuId: 2234076195  CC: 162
AuId: 2112199944  CC: 253
AuId: 1996189518  CC: 0
AuId: 2222538639  CC: 24
AuId: 2102762406  CC: 4
AuId: 2056806221  CC: 166
AuId: 2266553037  CC: 951
AuId: 2049930687  CC: 738
AuId: 2088203846  CC: 736
AuId: 2249357570  CC: 0
AuId: 2022711627  CC: 326
AuId: 2062578508  CC: 304
AuId: 2118526916  CC: 3559
AuId: 2139198687  CC: 10
AuId: 2188515047  CC: 1
AuId: 2312119265  CC: 1
AuId: 2165449166  CC: 454
AuId: 2126619938  CC: 191
AuId: 2119061808  CC: 1
AuId: 2301554435  CC: 109
AuId: 2153758238  CC: 121
AuId: 2233432248  CC: 4209
AuId: 2165050586  CC: 283
AuId: 1988141664  CC: 60
AuId: 2002875498  CC: 194
AuId: 112029828  CC: 313
AuId: 2222766389  CC: 8
AuId: 2232398304  CC: 2
AuId: 1820114045  CC: 932
AuId: 2152637862  CC: 905
AuId: 2229518196  CC: 4
AuId: 2303670713  CC: 4
AuId: 2171309992  CC: 3
AuId: 2110979127  CC: 724
AuId: 2310794020  CC: 0
AuId: 61660772  CC: 6789
AuId: 2229518199  CC: 596
AuId: 1207861956  CC: 898
AuId: 1966328125  CC: 1
