790690C9	jonathan betz	2006
6D9F730B	stefan geisler	1996
291B8AE8	jan l bedrosian	2010
8639D78C	michael collins	1996
419AEE32	helene bestougeff	1985
7E7F5A94	yaoyun zhang	2008
86377C0D	svetlana stoyanchev	2009
80A597CD	jiaju mao	2003
0F9CCC51	nikos voskarides	2015
8634A2D5	hermann textscney	2007
807F249B	jan van eijck	1993
81F5EA0A	andreas stockel	2014
85779F3D	b de vries	1994
00C3E611	martin cmejrek	2010
27AE3ECD	c anton rytting	2004
7FFBAC7B	yang gao	2013
7C36AB11	layki soon	2013
7EB86832	eric gilbert	2014
7E1E2C3F	fan long	2013
7AE64316	andrea tagarelli	2014
863354A5	hiroshi ishikawa	2015
12F27EA4	lambros cranias	1994
7F735E6A	heladia salgado	2009
762EE74C	julien mairal	2013
26CE9F84	geert adriaens	1992
8004A59C	luning ji	2009
76C34F6F	richard castanet	1973
84FD64C4	jared bernstein	1981
4EF43BE9	laurent dousset	2012
845E3AEB	christian buck	2014
7F771D1D	masatsugu hangyo	2013
7E18E605	ahmed el kholy	2013
20F05E90	gintarė grigonytė	2010
4AE0C86F	dominic widdows	2002
7DA6233A	alex hai wang	2011
7D29C867	congrui huang	2011
7F3AF657	howard johnson	2003
856E2343	rebecca mason	2012
75279A27	montse maritxalar	1993
8010921F	matteo grella	2011
8171B5EE	pedro m q aguiar	2010
777418EF	heinz kirchmann	2003
846133E9	jerry r hobbs	2006
7804EC6C	inaki alegria	1993
7FA7024E	qi yu	2014
794F4D2E	c malavazos	2000
85A02971	alicia perez	2007
86311619	lamia hadrichbelguith	2015
781185B7	a altmayer	2004
7EE5254A	fangzhong su	2008
777B02D5	james gung	2012
861F5E60	luisina violante	2013
7F548C5A	joy ying zhang	2013
85210E52	jiři semecký	2004
7D9CE456	hsuehueh shih	1996
785451D5	roger hsiao	2009
7BB3DC32	cristiano castelfranchi	1982
483AC02E	spyros matsoukas	2007
82CA7ADB	yue hu	2014
81A39AB1	miguel ballesteros	2014
86344B14	jatin sharma	2014
86345890	taylor cassidy	2014
76BF282C	soujanya poria	2015
7CA60200	david chiang	2000
7E3B61E9	luis hernandez	1999
85543567	sheng li	2002
8085CC15	dan ellard	1991
0E5FC3CE	guillaume cleuziou	2007
78361CE4	tina bogel	2012
81015D42	tuoi t phan	2009
7DB3A3CE	denise danielson	1994
7DB66B01	hyungjong noh	2007
82BA736C	d okeeffe	2013
862FEFCA	martin gleize	2015
671ED45B	ralph grishman	2014
7F1F05E7	ichiro ohsawa	1988
853C5A36	daniel simon mills	2011
756D31EF	gilad mishne	2006
80967505	renato dominguez garcia	2012
82396143	alberto massidda	2014
803CAA64	eiji komatsu	1994
0F7E81A3	mark a fanty	1994
851C05AA	william wang	2010
863DA3C2	yang ding	2013
0935CA7B	kemal oflazer	1999
7ABC6036	james gorlinsky	1998
811B944A	aasish pappu	2014
80133796	mike conway	2010
8187A14F	tong zhang	2001
7E047D88	eva safar	2003
0775358E	ron zacharski	2000
144323B8	sonia l sugg	2006
09B135DF	paolo giangrandi	1989
863EB9EF	chungchieh shan	2010
808EBFA4	sandra kubler	2001
7B2715A0	jirong wen	2009
80C13D74	andrew f rowley	2013
75C36661	marco battista	2000
7EB8EDD5	fatiha sadat	2005
7704872B	michael oakes	2012
862DD68E	robert mercer	2012
7E2C427A	a badran	2003
1171206F	tomas mikolov	2011
7FB2F329	yuyang huang	2014
77219F37	yaw gyamfi	2009
7FDCEA10	chikiu lo	2011
8633C638	timothy chklovski	2007
363BCD5C	rathinavelu chengalvarayan	2013
7D11D36B	jordi poveda	2009
6A870FD9	david hefner	1986
13170639	karen livescu	2004
0AEC6FE2	david mcallester	1999
7817453D	valentin i spitkovsky	2010
7D1EA1E1	manabu sato	2006
7F2F8CE6	ted dunning	1995
80B9D9AC	seiki akama	1994
75E6DD9D	susumu akamine	1994
811BD523	tom van den broek	2009
86323A18	irina alles	2014
86315566	david mareċek	2012
845CD2BA	s krauwer	1984
7B8B5DFE	tahira naseem	2008
7F8F328A	jeanfrancois crespo	2012
7B19A464	remko bonnema	2007
802B45BE	zhenhua tian	2013
43395952	janet hitzeman	1995
0B64F37E	yves schabes	1988
8108EAD8	riccardo serafin	2003
7F053159	you ouyang	2009
84241363	klemens bohm	2006
7E538DEC	f erik	2002
76501D6C	suzanne o artemieff	1992
81EC07C2	fondazione bruno kessler	2013
863B7079	ellen riloff	2014
863DCD22	anggi maulidyani	2015
767B1042	alena bohmova	2000
7D4A852D	meng wang	2009
861EF9A3	tuan luu anh	2015
823D4097	katerina pastra	2003
77CE782E	d c souter	2000
072A4BA7	marjan ghazvininejad	2015
7D309290	mamiko oka	2000
86362C73	richard textsczens	2007
783F8ABA	akio tsuruoka	1980
7F550CC6	patri j pugliese	2006
7FB1AADE	aesun yoon	2006
0EE02160	iraklis varlamis	2010
57BF3EBB	gustavo rodriguezrodriguez	2012
863854A5	martin ariel dominguez	2012
7DCF2599	ferran pla	2000
7DBAB0A1	jukka m toivanen	2013
79F0A773	pierre m nugues	2007
7C5C0ADA	andre bittar	2009
817152CF	ashish vaswani	2010
862BECEC	kathleen mckeown	2015
793462FD	davor delac	2009
79F5A6F4	sveva besana	2010
7FC3CD0B	hongliang yu	2013
3723CD22	toshiyuki takezawa	1992
849E1047	laurent nepveu	2004
84852F38	niranjan balasubramanian	2013
7E385463	jungi kim	2012
70C4521A	luz rello	2010
71B15E73	amarnag subramanya	2010
7E3B60A1	klinton bicknell	2009
8152C980	fernando batista	2008
7D895CA5	chunfa yuan	1992
01685ADF	yves bestgen	2004
77EAD91F	chris brew	2010
8016A8CE	jose miguel benedi	2001
78C85897	junichiro nishi	1980
862EE436	hardik vala	2015
43A89113	andrzej pastusiak	2013
7565E0EB	ashwin ittoo	2010
0D58793B	boris chuprin	2010
0158FA97	chinatsu aone	1990
7F139717	y c ju	2007
8101B7B4	bertus van rooy	2005
5F994A6A	e ben white blvd	2002
1901AFAB	d terence langendoen	1984
7EEC4E39	w a phillips	2002
8213E0CB	eva hasler	2014
7747E98D	jose a r fonollosa	2005
7ED702BA	manabu ori	2000
58784F33	amir globerson	2013
73438563	anne demedts	1994
797A5780	laura stoia	2006
074505C7	giovanni adorni	1982
8242D57B	stanley loh	2010
7D2F32EF	michael g white	1992
7DD2A85F	richard c wang	2005
762313DC	akiko eriguchi	2013
7D795E6F	jungjae kim	2000
7FCC6FE7	xiaojin jerry zhu	2008
80B87475	francesca bertagna	2000
8100A71F	ezra black	1991
0E4E8F64	sisay fissaha adafre	2005
04F5C8B6	malgorzata budzikowska	2000
7E18305E	sanghoun song	2009
7FADCFE6	donald e walker	1982
861F1274	wolfgang menzel	2014
0C2ADD4F	sebastian pado	2003
86398CF1	mitsuteru shiba	2013
13F1C5D8	florian schwarck	2010
0ECB62B1	stergos d afantenos	2010
82CFB20B	amba kulkarni	2012
86341AC8	ioan calapodescu	2013
86209AE7	tong unviersity	2014
86201F2A	ovesdotter alm	2011
8622D0A1	liang huang	2013
80911318	erica costantini	2002
7F787078	h s bosch	2012
7D410EAB	dipankar das	2009
78FF148A	joanna mrozinski	2006
66711796	coskun mermer	2011
862900B1	thomas lippincott	2014
7FD2AC34	hao zhang	2012
7DF7E02C	yutaka ohyama	1986
84D6CA49	g j m kruijff	2000
7F91F176	k k chang	2009
7F251EA0	wanli ma	2011
81635F14	michael a white	2006
0102D431	ulla vanhatalo	2003
862C323B	hendra setiawan	2013
8001DB5D	zhenbiao chen	2014
7DA22ED6	siety meijer	1994
7EE1B76A	mika enomoto	2007
7F243EDD	kohji itoh	2000
7DD32DD7	huizhong duan	2008
7D389768	duo zhang	2010
7A4D6BF6	inigo martinez de alegria	1999
862597C5	w oard	2008
7FFA170C	shoichi yokoyama	1986
7BE13955	paul schmidt	1996
7F9402F4	bea alex	2010
025803A4	marisa malcuori	2012
63A31527	abdol hamid pilevar	2011
8620B0A2	nicholas h kirk	2014
73717CEF	hod lipson	2012
80B39721	yiming yang	1984
7F3ACC11	susumu sawai	1982
0AEE42C0	karine lespinasse	2001
77D94D60	rachel rudinger	2013
78AC4F93	yu tovmach	1992
7628D9A2	paul piwek	2003
7DD7596E	lokesh shrestha	2004
84B4A434	fernando c pereira	1995
8634411A	tomas ptaċek	2014
8582EA1C	jeancharles marty	1989
863CD9DF	maxim ionov	2012
7F159134	michaela regneri	2008
7DC3E1B3	roland kuhn	2006
7E6724BD	daeneung sohn	2009
75D12588	john lafferty	1997
7E64E057	yulan yan	2011
4BB2FEE6	andrey simanovsky	2013
1EAFC7AC	gerhard weikum	2010
85020791	xin li	2002
7AAC14DC	shanmugasundaram ravikumar	2011
13FE6DF6	vassilios v digalakis	1991
7F164ACE	yun niu	2000
81E429C9	raphael dickfelder	2014
7FC662BE	yo ehara	2012
815D83F7	amitava das	2010
7F3F8162	tadaaki tani	1986
8045B852	simon dunne	2006
7E23DE8C	anil ramakrishna	2015
665BF3AC	gus hahnpowell	2015
86329A9F	xinyu dai	2015
77F94743	michael kearns	1999
86268CFC	laura kertz	2014
8538D3B3	alexis manasterramer	1986
86245071	james babani	2014
7E901192	alexandre passos	2014
7DE1EB3C	angel x chang	2011
7E246245	miho fujiwara	2002
7F443C36	philippe blache	1990
7DD7D001	katashi nagao	1994
862A1F93	shin kanouchi	2015
77EEA0D0	francis kubala	1991
7EC2CBCA	phong le	2012
1F0864A7	roberto zamparelli	2010
807B8391	rebecca row	2010
7992008E	jerzy bala	2001
7FA28EAE	vonwun soo	1992
173C0ADA	ekaterina rakhilina	1990
7F83E646	xuejie zhang	2015
863E32BD	yijia liu	2014
7FF9894A	laura alonso alemany	2003
80963971	qing chen	2005
4A1E7ADA	ricardo sanchezsaez	2010
84DF32E6	patrick shane	1984
7B306A2F	ralf steinmetz	2012
7E0621C7	aman kumar	2008
7DFC59F2	vijay sundar ram	2014
862C0F1C	jessie pinkham	2000
81C216BE	alexandre klementiev	2010
7E091410	andrea moro	2014
203C10B1	karteek addanki	2012
7DD8439A	daniel d walker	2010
7B5DC8CA	paul a j ackermans	2010
13C3B0AA	konstantina garoufi	2010
7D96A5BE	pattabhi r k rao	2011
86263339	martin mccaffery	2014
0477DF6D	wessel kraaij	1990
7DE1A4AD	enrique amigo	2004
81742F3D	bin ma	2011
86208F3B	ignacio thayer	2008
77D60AB1	chitta baral	2009
7F9A1D64	kazuyoshi murata	2007
2F997E03	anders bjorkelund	2010
86271C81	congjun long	2015
7ED87860	joyce conner	1986
28B47E00	shyamala doraisamy	2010
751A87B2	michiko kosaka	2000
5CCFBC9C	jose miguel bened	2010
6EE5A17C	virinder s kalra	2008
7F25D8FE	m m gordon	2009
85D6D6DC	douglas w oard	2003
862B65B4	sanjeev textsckhudanpur	2007
862B584C	lis pereira	2013
7ADC7CEB	wlodzislaw duch	2009
828A9272	jerome white	2012
858029CA	roman klinger	2013
6D07E9C5	kedar bellare	2009
7E4F43E2	barbara gawronska	1992
853F93FF	slav petrov	2006
7BF8ACD8	doug beeferman	1997
75DA0C83	pierre nugues	2003
80D0B61A	anandaswarup vadapalli	2013
80F705B7	david sontag	2010
7847EB00	marek maziarz	2012
85EEA0E2	phil maguire	2004
7F3002E5	katrin schweitzer	2009
802EE954	toshiro makino	2012
7E8F3DBC	ellen campana	2003
863E5705	iryna gurevych	2014
7AD3EA52	olga mudraya	2006
83C62CC6	xiaojie wang	2004
80D895C8	dan yu	2005
5B94E8A3	scott novotney	2010
7DC5D925	jinyeong bak	2014
7C64EC62	enis sert	2012
776AEFF3	geoffrey nunberg	1997
0AE588D7	ryo ochitani	1991
8034D0D1	man lan	2010
7D134C98	randall davis	2006
7FD407E5	haitong yang	2014
334B414B	andrea bolioli	1992
86220404	xiaochang peng	2014
733E4565	toni badia	1993
8635019B	gongbo zhang	2015
804D8851	sumit bhatia	2012
108C627D	veronique moriceau	2012
05424A5F	josef ruppenhofer	2008
0E028900	wolfgang finkler	1990
857E8827	seeeng phan	2003
7DE284D0	hinrich schuetze	2011
7F300784	thomas rist german	1994
1B79C66A	alexander volokh	2011
7DEF6E58	yuexian hou	2008
6AD48F05	jana diesner	2014
76E64432	christopher hogan	2000
7E8A24AB	dan roth	2003
7FED97F1	yutaka sasaki	2000
7D760B99	qi han	2013
863CAE4A	julia hancke	2012
7F815AD8	juliet bey	2001
7CFED37A	brett l kessler	1997
7EAC66AE	brooke cowan	2005
14B6A1F3	douglas e stumberger	1986
0C8D7FDD	ruth fuchss	2004
863816DB	riham mansour	2014
86222D9E	mohammad amin farajian	2014
